Title,Company,Experience,Salary,Location,Skills,Link
Production and Planning Engineer,Rexnord Electronics & Controls,5-10 Yrs,5-10 Lacs PA,Vasai,"Production Planning, Planning, Production, Planning engineering",https://www.naukri.com/job-listings-production-and-planning-engineer-rexnord-electronics-controls-vasai-5-to-10-years-170225006733
Asst Engineer,Sevens Enterprises,7-12 Yrs,Not disclosed,Idukki,"software testing, mechanical engineering, production, preventive maintenance, engineering, autocad, manpower handling, electrical maintenance",https://www.naukri.com/job-listings-asst-engineer-sevens-enterprises-pvt-ltd-idukki-7-to-12-years-150224501940
Production Supervisor,Innovus Cleanroom,1-4 Yrs,Not disclosed,Bharuch,"employee training, quality control, production, logistics, inventory, kaizen, production management, manpower handling",https://www.naukri.com/job-listings-production-supervisor-innovus-cleanroom-bharuch-1-to-4-years-170225504683
Production Supervisor,D Source,2-3 Yrs,Not disclosed,Nashik,"Training, Production Supervisor, Production supervising, Product service, Industrial products, Mechanical, Supervision, Production",https://www.naukri.com/job-listings-production-supervisor-d-source-nashik-2-to-3-years-141122503145
Diploma Engineer / Quality Supervisor,Teksons Radiators,1-6 Yrs,Not disclosed,Thane,"Assembly line, Pre dispatch inspection, Excel, Quality Supervisor, Quality inspection, 8D Report, Customer complaints, Powerpoint",https://www.naukri.com/job-listings-diploma-engineer-quality-supervisor-teksons-radiators-thane-1-to-6-years-161224501272
Production Engineer,ANH Engineering Services (ANHESPL),2-5 Yrs,2-3.5 Lacs PA,Faridabad,"OEE Calculation, Kaizen, Production, Manpower Handling, OEE, Calculation, Manpower, Production engineering",https://www.naukri.com/job-listings-production-engineer-anh-engineering-services-anhespl-faridabad-2-to-5-years-150325005407
Mechanical Engineer,Chear India,5-10 Yrs,Not disclosed,Tiruchirapalli,"mechanical engineering, production, fabrication, cad, engineering, autocad, catia, product design",https://www.naukri.com/job-listings-mechanical-engineer-chear-india-limited-tiruchirapalli-5-to-10-years-170225504956
mechanical engineer,Prem Ghan Products,3-7 Yrs,Not disclosed,Indore,"mechanical engineering, production, fabrication, cad, engineering, autocad, catia, product design",https://www.naukri.com/job-listings-mechanical-engineer-premghan-products-indore-3-to-7-years-160724500985
Mechanical Engineer,M19 Lab,1-3 Yrs,Not disclosed,Vadodara,"mechanical engineering, production, fabrication, cad, engineering, autocad, catia, product design",https://www.naukri.com/job-listings-mechanical-engineer-m19-lab-vadodara-1-to-3-years-170724501303
Officer - Production,Teyro Labs,1-3 Yrs,Not disclosed,Chennai,"QMS, Production",https://www.naukri.com/job-listings-officer-production-tyro-labs-pvt-ltd-chennai-1-to-3-years-150724500984
Corporate Recruiter,Specsmakers Opticians,3-8 Yrs,5-6 Lacs PA,Chennai,"Non IT Recruitment, Leadership Hiring, Senior Level Hiring, Corporate Recruitment, Talent Acquisition, Retail, Niche Hiring, End To End Recruitment",https://www.naukri.com/job-listings-corporate-recruiter-specsmakers-opticians-chennai-3-to-8-years-160324003388
Mechanical Engineer,DARA ENGINEERING INFRASTRUCTURES PRIVATE LIMITED,4-7 Yrs,Not disclosed,New Delhi,"mechanical engineering, production, fabrication, cad, engineering, autocad, catia, product design",https://www.naukri.com/job-listings-mechanical-engineer-dara-engineering-infrastructures-private-limited-new-delhi-4-to-7-years-170125503084
HR Head,Samraat Group,6-11 Yrs,Not disclosed,Nashik,"Recruitment, HR Generalist Activities, Grievance Handling, Performance Management System, Exit Interviews, HR Operations, Performance Appraisal, Exit Interview",https://www.naukri.com/job-listings-hr-head-samraat-group-nashik-6-to-11-years-150724006724
SMT - Engineer,Electrify Energy,10-12 Yrs,Not disclosed,Ahmedabad,"TPM, Kaizen, EOT cranes, Poka Yoke, DC drives, Preventive maintenance, Material handling, MTBF",https://www.naukri.com/job-listings-smt-engineer-electrify-energy-ahmedabad-10-to-12-years-160923500281
Senior Software Engineer,Kovair Software,4-5 Yrs,Not disclosed,Kolkata,"development, C, code, Support, developing, microsoft, SQL, English",https://www.naukri.com/job-listings-senior-software-engineer-kovair-software-pvt-ltd-kolkata-4-to-5-years-160517501142
Chemical Engineer,Maheshwari Mining Private Limited ·,3-8 Yrs,Not disclosed,Raniganj,"process development, production, engineering, mass transfer, research, unit operations, process engineering, manpower handling",https://www.naukri.com/job-listings-chemical-engineer-maheshwari-mining-private-limited-raniganj-3-to-8-years-170524501563
Lead Rotary Packaging Engineer,LTT SYSTEMS PRIVATE LIMITED,3-6 Yrs,Not disclosed,Vadodara,"Pumps, Packaging, Detail engineering, Rotary, Detailing, Engineering",https://www.naukri.com/job-listings-lead-rotary-packaging-engineer-ltt-systems-private-limited-vadodara-3-to-6-years-141123501234
Production Supervisor,SZ Developers,3-7 Yrs,Not disclosed,Kozhikode,"employee training, quality control, production, logistics, inventory, kaizen, production management, manpower handling",https://www.naukri.com/job-listings-production-supervisor-sz-developers-kozhikode-3-to-7-years-130225500259
Production Officer,GK Dairy (Tamil Milk),5-10 Yrs,Not disclosed,Thanjavur,"Biotechnology, Microbiology, Food technology, Biochemistry, Monitoring, Production, Technology",https://www.naukri.com/job-listings-production-officer-gk-dairy-tamil-milk-thanjavur-5-to-10-years-130325504316
Production Incharge,Akaar Founders,3-7 Yrs,Not disclosed,Belgaum,"management skills, quality control, production, kaizen, production management, manpower handling, production processes, production planning control",https://www.naukri.com/job-listings-production-incharge-akkar-founders-pvt-ltd-belgaum-3-to-7-years-140524502298
Engineer - Metallurgy,Jayem Automotives,2-7 Yrs,Not disclosed,Coimbatore,"Biw, Basic, Simulation, Mechanical, Hardware, Metallurgy, Windows, Material testing",https://www.naukri.com/job-listings-engineer-metallurgy-jayem-automotives-coimbatore-2-to-7-years-140624504026
Prompt Engineer,Shriffle Technologies,3-8 Yrs,Not disclosed,Indore,"software testing, mechanical engineering, production, engineering, aspen, autocad, catia, process engineering",https://www.naukri.com/job-listings-prompt-engineer-shriffle-technologies-pvt-ltd-indore-3-to-8-years-140225501558
Shift Engineers (Plant Engg),Hitech Corporation Limited,3-8 Yrs,Not disclosed,"Rohtak, Mysuru","Injection moulding, Plant Engineer, Plant engineering, Plant, Injection Mould, Injection, Engineering, Moulds",https://www.naukri.com/job-listings-shift-engineers-plant-engg-hitech-corporation-rohtak-mysuru-3-to-8-years-131224503544
Sustainable Production Technician,Inosculation Hub,1-5 Yrs,Not disclosed,New Delhi,"Usage, Chemical, Production Manager, Management, Production, Production management",https://www.naukri.com/job-listings-sustainable-production-technician-inosculation-hub-new-delhi-1-to-5-years-121224501775
PRODUCTION SHIFT INCHARGE,Astrotech Steels,6-7 Yrs,Not disclosed,Chennai,"PRODUCTION SHIFT INCHARGE, Production",https://www.naukri.com/job-listings-production-shift-incharge-astrotech-steels-pvt-ltd-chennai-6-to-7-years-130325504709
"ENGINEER, ASSY EQUIPMENT & PROCESS",Micron Software,3-5 Yrs,Not disclosed,Sanand,"fmea, spc, assembly, packaging, statistical process control, communication skills",https://www.naukri.com/job-listings-engineer-assy-equipment-process-micron-software-sanand-3-to-5-years-130225503275
SQC Professional Engineer,Rarr Technologies,3-5 Yrs,Not disclosed,Neemrana,"Injection moulding, SQC, PPAP documentation, Sheet metal, Process capability, Mechanical, PPAP, Die casting",https://www.naukri.com/job-listings-sqc-professional-engineer-rarr-technologies-neemrana-3-to-5-years-130225501116
Production Planning and Control Engineer,Bharaj Machineries Company,5-10 Yrs,3-5 Lacs PA,"Vasai, Virar, Bhayandar","Excellent knowledge of production, Manpower, Shop Floor Control, Production Management, Production Planning, TPM, Fabrication, CNC Machines",https://www.naukri.com/job-listings-production-planning-and-control-engineer-bharaj-machineries-company-vasai-virar-bhayandar-5-to-10-years-140623005108
Panel Operator - Production,Balaji Amines,2-3 Yrs,Not disclosed,Solapur,"repair, production, production control, equipment, kaizen, production management, manpower handling, operations",https://www.naukri.com/job-listings-panel-operator-production-balaji-amines-solapur-2-to-3-years-130924501456
Associate Manager - Production,Air Water Group,10-15 Yrs,Not disclosed,Jamshedpur,"Production operations, Relationship Associate, Production Operation, Production, Management, Relationship, Operations",https://www.naukri.com/job-listings-associate-manager-production-air-water-india-private-ltd-jamshedpur-10-to-15-years-140125502192
Sales Engineer,Leading Client,5-7 Yrs,Not disclosed,Chennai,"Sales Engineering, cutting tools, territory development, overdue management, market development, Retention Management, demonstration, Machine tools",https://www.naukri.com/job-listings-sales-engineer-jobs-territory-chennai-5-to-7-years-130325912791
Sales Engineer,Leading Client,5-8 Yrs,Not disclosed,Chennai,"Sales, overdue management, Retention Management, Sales management, Sales engineering, CRM, Management, Retention",https://www.naukri.com/job-listings-sales-engineer-jobs-territory-chennai-5-to-8-years-130325912811
Test Equipment Process Engineer,Micron Software,2-4 Yrs,Not disclosed,Sanand,"utility maintenance, plant maintenance, manufacturing, utility, maintenance, production engineering, Test Equipment, Production",https://www.naukri.com/job-listings-test-equipment-process-engineer-micron-software-sanand-2-to-4-years-130225503353
Production Manager,D Source,4-5 Yrs,Not disclosed,Nashik,"Machine maintenance, Production planning, Product service, Manpower handling, Mechanical, Industrial engineering, Production handling, Manpower",https://www.naukri.com/job-listings-production-manager-d-source-nashik-4-to-5-years-130423500706
Software Engineer,Turing,5-8 Yrs,Not disclosed,Remote,"orchestration, Linux, Coding, Support services, Adobe, Virtualization, Analytics, Python",https://www.naukri.com/job-listings-software-engineer-turing-remote-5-to-8-years-140125505534
Test Equipment Process Engineer,Micron Software,2-4 Yrs,Not disclosed,Sanand,"utility maintenance, manufacturing, manufacturing process, maintenance, production engineering, process engineering, Process, Test Equipment",https://www.naukri.com/job-listings-test-equipment-process-engineer-micron-software-sanand-2-to-4-years-130225503297
Lead Cloud Engineer,Turing,10-12 Yrs,Not disclosed,Remote,"System architecture, Front end, Project management, Javascript, Agile, Data analytics, Scrum, JIRA",https://www.naukri.com/job-listings-lead-cloud-engineer-turing-remote-10-to-12-years-140125510432
Engineer,Capri Technosys,1-4 Yrs,Not disclosed,Ahmedabad,"new projects, project management, mechanical engineering, production, engineering, autocad, new product development, budgeting",https://www.naukri.com/job-listings-engineer-capri-technosys-ahmedabad-1-to-4-years-110724502741
Shift Supervisor - Production,Chlori Tech Industries,5-6 Yrs,Not disclosed,Vadodara,"Production Supervisor, Production Shift Supervisor, Production supervising, Production",https://www.naukri.com/job-listings-shift-supervisor-production-chloritech-industries-vadodara-5-to-6-years-110225504749
Production Supervisor,Mirrow Trade,2-5 Yrs,Not disclosed,Surat,"employee training, quality control, production, logistics, inventory, kaizen, production management, manpower handling",https://www.naukri.com/job-listings-production-supervisor-ompax-lifestyle-private-limited-surat-2-to-5-years-120724501325
Production Assistants,Bramhanee Industries,1-4 Yrs,Not disclosed,Nagpur,"production line, quality control, mechanical engineering, production, equipment, kaizen, production management, manpower handling",https://www.naukri.com/job-listings-production-assistants-bramhanee-furniture-nagpur-1-to-4-years-120724501798
Engineer,A2Z Control System,2-3 Yrs,Not disclosed,Ahmedabad,"new projects, project management, mechanical engineering, production, engineering, autocad, new product development, kaizen",https://www.naukri.com/job-listings-engineer-a2z-control-system-ahmedabad-2-to-3-years-110724502460
Production Supervisor,D Source,1-3 Yrs,Not disclosed,Nashik,"Fabrication, Production Supervisor, Usage, MIN, Banking, Mechanical, Workflow, Supervision",https://www.naukri.com/job-listings-production-supervisor-d-source-nashik-1-to-3-years-111022502552
Mechanical Engineers,MyfutureJob,1-5 Yrs,Not disclosed,Raigarh,"Fabrication, Product quality, Production planning, Engineering project management, Production engineering, Consulting, Mechanical, Infrastructure",https://www.naukri.com/job-listings-mechanical-engineers-myfuturejob-raigarh-1-to-5-years-110423500856
Production Supervisor,Elgi Rubber Company,3-4 Yrs,Not disclosed,Coimbatore,"Production Supervisor, SAP, Manpower handling, Mechanical, Manager Technology, Production handling, Technology, Technology management",https://www.naukri.com/job-listings-production-supervisor-elgi-rubber-company-limited-coimbatore-3-to-4-years-111224502863
Production Supervisor,Leedax Lighting Technologies,3-6 Yrs,Not disclosed,Ahmedabad,"daily production planning, shift planning, production, rejection control, manpower handling, team leading, manufacturing, line balancing",https://www.naukri.com/job-listings-production-supervisor-leedax-lighting-technologies-private-limited-ahmedabad-3-to-6-years-120225500995
Production Manager,D Source,6-10 Yrs,Not disclosed,Nashik,"Production engineering, Finance, Mechanical, Operations, Management, Production, Engineering, Production management",https://www.naukri.com/job-listings-production-manager-d-source-nashik-6-to-10-years-111022502282
Production Supervisor,D Source,6-10 Yrs,Not disclosed,Sinnar,"Production management, Production Supervisor, MIN, Mechanical, Budgeting, Management, Monitoring, Inventory",https://www.naukri.com/job-listings-production-supervisor-d-source-sinnar-6-to-10-years-111022502397
Production Supervisor,Hospital Equipment Manufacturing Company,3-8 Yrs,Not disclosed,Noida,"Housekeeping, Production Supervisor, Surgical, Excel, Manager Quality Control, MS Office Word, Production, Microsoft",https://www.naukri.com/job-listings-production-supervisor-hospital-equipment-manufacturing-company-noida-3-to-8-years-120724501155
